citation,query,title,url
40,momentum+features+for+stock+return+factors,"CAPM Beta, Size, Book-to- Market , and  Momentum  in Realized  Stock  Returns.",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00151920&asa=Y&AN=57812063&h=QExpkqI93T7VOMb1L1oumwiKpG5p4GBJUCzE16RCKCH0xcZOZv9qf%2Bb11OonsQRqVRMyABj8uL1DKv5JftNbOQ%3D%3D&crl=c
168,momentum+features+for+stock+return+factors,Style  momentum  within the S&P-500 index,https://www.sciencedirect.com/science/article/pii/S0927539804000520
5,momentum+features+for+stock+return+factors,Is  Factor Momentum  More than  Stock Momentum ?,https://arxiv.org/abs/2009.04824
11,momentum+features+for+stock+return+factors,The Effect of the Earning Transparency on cost of capital common  stock  based on The Fama-French and  Momentum Factors,https://www.sciencedirect.com/science/article/pii/S2212567116300351
8,momentum+features+for+stock+return+factors,"Growth/Value,  Market  Cap, and  Momentum",https://joi.pm-research.com/content/23/1/33/tab-pdf-disaabled
22,momentum+features+for+stock+return+factors,Momentum  and funding conditions,https://www.sciencedirect.com/science/article/pii/S0378426618300013
581,momentum+features+for+stock+return+factors,Is  momentum  really  momentum ?,https://www.sciencedirect.com/science/article/pii/S0304405X11001152
13,momentum+features+for+stock+return+factors,[CITATION] [C]   Option  momentum,
1057,momentum+features+for+stock+return+factors,[HTML] [HTML]   Momentum  crashes,https://www.sciencedirect.com/science/article/pii/S0304405X16301490
28,momentum+features+for+stock+return+factors,On  characteristics momentum,https://www.tandfonline.com/doi/abs/10.1207/S15427579JPFM0403_4
68,momentum+features+for+stock+return+factors,"Size, BM, and  momentum  effects and the robustness of the Fama‐French three‐ factor  model: Evidence from New Zealand",https://www.emerald.com/insight/content/doi/10.1108/17439130910947895/full/html
41,momentum+features+for+stock+return+factors,Credit quality implied  momentum  profits for Islamic  stocks,https://www.sciencedirect.com/science/article/pii/S0927538X15300214
635,momentum+features+for+stock+return+factors,Currency  momentum  strategies,https://www.sciencedirect.com/science/article/pii/S0304405X12001353
57,momentum+features+for+stock+return+factors,Disentangling size from  momentum  in Australian  stock  returns,https://journals.sagepub.com/doi/pdf/10.1177/031289620803200305
72,momentum+features+for+stock+return+factors,Momentum  in futures markets,https://papers.ssrn.com/Sol3/papers.cfm?abstract_id=671841
24,momentum+features+for+stock+return+factors,Dynamic  factors  and the source of  momentum  profits,https://www.tandfonline.com/doi/abs/10.1198/073500106000000648
